"","9014_1-5","9014_1-6","9014_2-5","9014_2-6","9014_5-6","9014_6-5-1","9014_6-5-2","9014_6-6"
"DDX11L1",0,0,0,0,0,0,0,0
"WASH7P",153,61,129,90,123,140,149,133
"MIR6859-1",31,12,22,18,20,20,22,27
"RP11-34P13.3",0,0,0,0,0,0,0,0
"MIR1302-2",0,0,0,0,0,0,0,0
"FAM138A",0,0,0,0,0,0,0,0
"OR4G4P",0,0,0,0,0,0,0,0
"OR4G11P",0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0
"RP11-34P13.7",0,0,1,0,1,0,2,1
"RP11-34P13.8",0,0,0,0,0,0,0,0
"RP11-34P13.10",0,0,0,5,0,0,3,3
"RP11-34P13.15",25,9,16,17,10,28,26,13
"RP11-34P13.16",19,2,18,6,16,32,35,15
"RP11-34P13.14",0,0,0,0,0,0,0,1
"RP11-34P13.13",8,8,5,3,4,9,8,3
"RNU6-1100P",0,0,0,0,0,0,0,0
"RP11-34P13.9",0,0,0,0,0,0,0,0
"ABC7-43046700E7.1",3,0,0,0,0,0,0,0
"RP11-34P13.18",342,195,227,220,252,313,336,268
"MIR6859-2",0,0,0,0,0,0,0,0
"AP006222.1",0,0,0,0,2,2,0,0
"RPL23AP24",0,0,0,0,0,0,0,0
"RP4-669L17.2",0,0,0,0,0,0,0,0
"RP4-669L17.4",15,7,18,15,23,31,34,10
"RP4-669L17.6",0,0,0,0,0,0,0,0
"OR4F29",0,0,0,0,0,0,0,0
"CICP7",0,0,0,0,0,0,0,0
"RP4-669L17.8",0,0,0,0,0,0,0,0
"RF00026",9,11,6,18,10,17,6,9
"RP11-206L10.17",4,3,3,2,6,4,1,6
"RP5-857K21.2",0,0,0,0,0,0,0,0
"RP5-857K21.9",4,4,4,3,3,4,4,3
"RP5-857K21.8",2230,2648,2043,2913,2248,2018,2239,2615
"RP5-857K21.6",3360,3186,2450,3260,2263,2234,2430,2711
"MIR6723",0,0,0,0,0,0,0,0
"RP5-857K21.7",23,21,18,20,20,23,18,19
"RP5-857K21.14",0,2,0,1,2,0,1,0
