"","7486_3","7486_4","7486_5","7486_6","7486_7","7486_8","7486_9","7486_10"
"DDX11L1",0,0,0,0,0,0,0,0
"WASH7P",27,22,14,11,20,6,11,18
"MIR6859-1",66,45,61,78,55,54,57,50
"RP11-34P13.3",0,0,0,0,0,0,0,0
"MIR1302-2",0,0,0,0,0,0,0,0
"FAM138A",0,0,0,0,0,0,0,0
"OR4G4P",0,0,0,0,0,0,0,0
"OR4G11P",0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0
"RP11-34P13.7",0,0,0,0,0,0,3,0
"RP11-34P13.8",0,0,0,0,0,0,0,0
"RP11-34P13.10",1,0,2,2,2,1,3,5
"RP11-34P13.15",8,4,7,6,2,6,10,7
"RP11-34P13.16",11,2,14,4,1,6,2,9
"RP11-34P13.14",0,0,0,0,0,0,0,0
"RP11-34P13.13",9,5,11,3,9,7,6,7
"RNU6-1100P",0,0,0,0,0,0,0,0
"RP11-34P13.9",0,0,0,0,0,0,0,0
"ABC7-43046700E7.1",10,11,8,17,25,17,10,18
"RP11-34P13.18",222,166,222,220,212,177,179,236
"MIR6859-2",0,0,0,0,0,0,0,0
"AP006222.1",8,7,6,7,6,7,11,10
"RPL23AP24",0,0,0,0,0,0,0,0
"RP4-669L17.2",0,0,0,0,0,0,0,0
"RP4-669L17.4",62,33,26,50,51,35,45,48
"RP4-669L17.6",0,0,0,0,0,0,0,0
"OR4F29",0,0,0,0,0,0,0,0
"CICP7",0,0,0,0,0,0,0,0
"RP4-669L17.8",0,0,0,0,0,0,0,0
"RF00026",20,9,17,12,19,12,13,24
"RP11-206L10.17",20,28,16,18,15,16,15,28
"RP5-857K21.2",0,0,0,0,0,0,0,0
"RP5-857K21.9",6,5,8,3,3,0,4,2
"RP5-857K21.8",2027,2065,1781,2555,1476,1391,1686,1898
"RP5-857K21.6",2299,1648,1620,1858,1396,1119,2782,1841
"MIR6723",0,0,0,0,0,0,0,0
"RP5-857K21.7",9,16,8,26,18,19,25,21
"RP5-857K21.14",0,0,0,0,0,0,0,0
"RP5-857K21.10",26622,26618,22545,30879,19418,16819,21705,23428
"RP5-857K21.11",34,27,18,17,20,13,17,14
"RP5-857K21.12",0,0,0,1,0,0,0,0
"OR4F16",0,0,0,0,0,0,0,0
"RP11-206L10.15",3,7,4,4,9,10,5,8
"RP11-206L10.2",575,548,553,558,513,442,566,593
"RNU6-1199P",1,0,0,0,0,0,0,0
"RP11-206L10.4",0,0,0,0,0,0,0,0
"RP11-206L10.9",207,166,176,184,204,176,225,230
"RP11-206L10.18",0,0,0,0,0,0,0,0
"RP11-206L10.8",47,38,42,25,48,54,42,45
"FAM87B",9,11,4,7,18,14,18,15
"RP11-206L10.11",921,747,745,875,1220,1101,1321,1575
